"Statistic Label","Year","Age Group","Sex","UNIT","VALUE"
"Mean Annual Earnings","2017","60 years and over","Both sexes","Euro","35610"
"Mean Annual Earnings","2017","60 years and over","Male","Euro","43039"
"Mean Annual Earnings","2017","60 years and over","Female","Euro","28144"
"Mean Annual Earnings","2018","15 - 24 years","Both sexes","Euro","19948"
"Mean Annual Earnings","2018","15 - 24 years","Male","Euro","21409"
"Mean Annual Earnings","2018","15 - 24 years","Female","Euro","18507"
"Mean Annual Earnings","2018","15 years and over","Both sexes","Euro","43830"
"Mean Annual Earnings","2018","15 years and over","Male","Euro","49931"
"Mean Annual Earnings","2018","15 years and over","Female","Euro","37520"
"Mean Annual Earnings","2018","25 - 29 years","Both sexes","Euro","34129"
"Mean Annual Earnings","2018","25 - 29 years","Male","Euro","35834"
"Mean Annual Earnings","2018","25 - 29 years","Female","Euro","32320"
"Mean Annual Earnings","2018","30 - 39 years","Both sexes","Euro","43937"
"Mean Annual Earnings","2018","30 - 39 years","Male","Euro","47824"
"Mean Annual Earnings","2018","30 - 39 years","Female","Euro","39732"
"Mean Annual Earnings","2018","40 - 49 years","Both sexes","Euro","50750"
"Mean Annual Earnings","2018","40 - 49 years","Male","Euro","58563"
"Mean Annual Earnings","2018","40 - 49 years","Female","Euro","42551"
"Mean Annual Earnings","2018","50 - 59 years","Both sexes","Euro","48457"
"Mean Annual Earnings","2018","50 - 59 years","Male","Euro","58357"
"Mean Annual Earnings","2018","50 - 59 years","Female","Euro","38921"
"Mean Annual Earnings","2018","60 years and over","Both sexes","Euro","36852"
"Mean Annual Earnings","2018","60 years and over","Male","Euro","44343"
"Mean Annual Earnings","2018","60 years and over","Female","Euro","29223"
"Mean Annual Earnings","2019","15 - 24 years","Both sexes","Euro","20786"
"Mean Annual Earnings","2019","15 - 24 years","Male","Euro","22363"
"Mean Annual Earnings","2019","15 - 24 years","Female","Euro","19216"
"Mean Annual Earnings","2019","15 years and over","Both sexes","Euro","45375"
"Mean Annual Earnings","2019","15 years and over","Male","Euro","51630"
"Mean Annual Earnings","2019","15 years and over","Female","Euro","38862"
"Mean Annual Earnings","2019","25 - 29 years","Both sexes","Euro","35599"
"Mean Annual Earnings","2019","25 - 29 years","Male","Euro","37451"
"Mean Annual Earnings","2019","25 - 29 years","Female","Euro","33627"
"Mean Annual Earnings","2019","30 - 39 years","Both sexes","Euro","45477"
"Mean Annual Earnings","2019","30 - 39 years","Male","Euro","49579"
"Mean Annual Earnings","2019","30 - 39 years","Female","Euro","40978"
"Mean Annual Earnings","2019","40 - 49 years","Both sexes","Euro","52355"
"Mean Annual Earnings","2019","40 - 49 years","Male","Euro","60242"
"Mean Annual Earnings","2019","40 - 49 years","Female","Euro","44073"
"Mean Annual Earnings","2019","50 - 59 years","Both sexes","Euro","50325"
"Mean Annual Earnings","2019","50 - 59 years","Male","Euro","60235"
"Mean Annual Earnings","2019","50 - 59 years","Female","Euro","40636"
"Mean Annual Earnings","2019","60 years and over","Both sexes","Euro","38349"
"Mean Annual Earnings","2019","60 years and over","Male","Euro","46034"
"Mean Annual Earnings","2019","60 years and over","Female","Euro","30516"
"Mean Annual Earnings","2020","15 - 24 years","Both sexes","Euro","23414"
"Mean Annual Earnings","2020","15 - 24 years","Male","Euro","24629"
"Mean Annual Earnings","2020","15 - 24 years","Female","Euro","22133"
"Mean Annual Earnings","2020","15 years and over","Both sexes","Euro","50076"
"Mean Annual Earnings","2020","15 years and over","Male","Euro","56171"
"Mean Annual Earnings","2020","15 years and over","Female","Euro","43693"
"Mean Annual Earnings","2020","25 - 29 years","Both sexes","Euro","39233"
"Mean Annual Earnings","2020","25 - 29 years","Male","Euro","40670"
"Mean Annual Earnings","2020","25 - 29 years","Female","Euro","37720"
"Mean Annual Earnings","2020","30 - 39 years","Both sexes","Euro","50195"
"Mean Annual Earnings","2020","30 - 39 years","Male","Euro","54121"
"Mean Annual Earnings","2020","30 - 39 years","Female","Euro","45889"
"Mean Annual Earnings","2020","40 - 49 years","Both sexes","Euro","57059"
"Mean Annual Earnings","2020","40 - 49 years","Male","Euro","64724"
"Mean Annual Earnings","2020","40 - 49 years","Female","Euro","49055"
"Mean Annual Earnings","2020","50 - 59 years","Both sexes","Euro","54786"
"Mean Annual Earnings","2020","50 - 59 years","Male","Euro","64662"
"Mean Annual Earnings","2020","50 - 59 years","Female","Euro","45057"
"Mean Annual Earnings","2020","60 years and over","Both sexes","Euro","42888"
"Mean Annual Earnings","2020","60 years and over","Male","Euro","50443"
"Mean Annual Earnings","2020","60 years and over","Female","Euro","34943"
"Mean Annual Earnings","2021","15 - 24 years","Both sexes","Euro","23645"
"Mean Annual Earnings","2021","15 - 24 years","Male","Euro","24971"
"Mean Annual Earnings","2021","15 - 24 years","Female","Euro","22207"
"Mean Annual Earnings","2021","15 years and over","Both sexes","Euro","51068"
"Mean Annual Earnings","2021","15 years and over","Male","Euro","57348"
"Mean Annual Earnings","2021","15 years and over","Female","Euro","44433"
"Mean Annual Earnings","2021","25 - 29 years","Both sexes","Euro","40638"
"Mean Annual Earnings","2021","25 - 29 years","Male","Euro","42370"
"Mean Annual Earnings","2021","25 - 29 years","Female","Euro","38810"
"Mean Annual Earnings","2021","30 - 39 years","Both sexes","Euro","51634"
"Mean Annual Earnings","2021","30 - 39 years","Male","Euro","55941"
"Mean Annual Earnings","2021","30 - 39 years","Female","Euro","46848"
"Mean Annual Earnings","2021","40 - 49 years","Both sexes","Euro","57901"
"Mean Annual Earnings","2021","40 - 49 years","Male","Euro","65647"
"Mean Annual Earnings","2021","40 - 49 years","Female","Euro","49806"
"Mean Annual Earnings","2021","50 - 59 years","Both sexes","Euro","55550"
"Mean Annual Earnings","2021","50 - 59 years","Male","Euro","65283"
"Mean Annual Earnings","2021","50 - 59 years","Female","Euro","45794"
"Mean Annual Earnings","2021","60 years and over","Both sexes","Euro","42711"
"Mean Annual Earnings","2021","60 years and over","Male","Euro","50005"
"Mean Annual Earnings","2021","60 years and over","Female","Euro","34958"
"Mean Annual Earnings","2022","15 - 24 years","Both sexes","Euro","23062"
"Mean Annual Earnings","2022","15 - 24 years","Male","Euro","24643"
"Mean Annual Earnings","2022","15 - 24 years","Female","Euro","21441"
"Mean Annual Earnings","2022","15 years and over","Both sexes","Euro","52053"
"Mean Annual Earnings","2022","15 years and over","Male","Euro","58612"
"Mean Annual Earnings","2022","15 years and over","Female","Euro","45151"
"Mean Annual Earnings","2022","25 - 29 years","Both sexes","Euro","41587"
"Mean Annual Earnings","2022","25 - 29 years","Male","Euro","43491"
"Mean Annual Earnings","2022","25 - 29 years","Female","Euro","39551"
"Mean Annual Earnings","2022","30 - 39 years","Both sexes","Euro","53106"
"Mean Annual Earnings","2022","30 - 39 years","Male","Euro","57733"
"Mean Annual Earnings","2022","30 - 39 years","Female","Euro","47979"
"Mean Annual Earnings","2022","40 - 49 years","Both sexes","Euro","59271"
"Mean Annual Earnings","2022","40 - 49 years","Male","Euro","67175"
"Mean Annual Earnings","2022","40 - 49 years","Female","Euro","51089"
"Mean Annual Earnings","2022","50 - 59 years","Both sexes","Euro","57286"
"Mean Annual Earnings","2022","50 - 59 years","Male","Euro","67392"
"Mean Annual Earnings","2022","50 - 59 years","Female","Euro","47102"
"Mean Annual Earnings","2022","60 years and over","Both sexes","Euro","43454"
"Mean Annual Earnings","2022","60 years and over","Male","Euro","51044"
"Mean Annual Earnings","2022","60 years and over","Female","Euro","35304"
"Median Annual Earnings","2011","15 - 24 years","Both sexes","Euro","16694"
"Median Annual Earnings","2011","15 - 24 years","Male","Euro","17712"
"Median Annual Earnings","2011","15 - 24 years","Female","Euro","15859"
"Median Annual Earnings","2011","15 years and over","Both sexes","Euro","33157"
"Median Annual Earnings","2011","15 years and over","Male","Euro","37492"
"Median Annual Earnings","2011","15 years and over","Female","Euro","29189"
"Median Annual Earnings","2011","25 - 29 years","Both sexes","Euro","27940"
"Median Annual Earnings","2011","25 - 29 years","Male","Euro","28515"
"Median Annual Earnings","2011","25 - 29 years","Female","Euro","27397"
"Median Annual Earnings","2011","30 - 39 years","Both sexes","Euro","36504"
"Median Annual Earnings","2011","30 - 39 years","Male","Euro","38552"
"Median Annual Earnings","2011","30 - 39 years","Female","Euro","34573"
"Median Annual Earnings","2011","40 - 49 years","Both sexes","Euro","37786"
"Median Annual Earnings","2011","40 - 49 years","Male","Euro","44861"
"Median Annual Earnings","2011","40 - 49 years","Female","Euro","31041"
"Median Annual Earnings","2011","50 - 59 years","Both sexes","Euro","36676"
"Median Annual Earnings","2011","50 - 59 years","Male","Euro","44386"
"Median Annual Earnings","2011","50 - 59 years","Female","Euro","29524"
"Median Annual Earnings","2011","60 years and over","Both sexes","Euro","26009"
"Median Annual Earnings","2011","60 years and over","Male","Euro","32919"
"Median Annual Earnings","2011","60 years and over","Female","Euro","19719"
"Median Annual Earnings","2012","15 - 24 years","Both sexes","Euro","16099"
"Median Annual Earnings","2012","15 - 24 years","Male","Euro","17269"
"Median Annual Earnings","2012","15 - 24 years","Female","Euro","15121"
"Median Annual Earnings","2012","15 years and over","Both sexes","Euro","32900"
"Median Annual Earnings","2012","15 years and over","Male","Euro","36860"
"Median Annual Earnings","2012","15 years and over","Female","Euro","29189"
"Median Annual Earnings","2012","25 - 29 years","Both sexes","Euro","27310"
"Median Annual Earnings","2012","25 - 29 years","Male","Euro","27892"
"Median Annual Earnings","2012","25 - 29 years","Female","Euro","26720"
"Median Annual Earnings","2012","30 - 39 years","Both sexes","Euro","35857"
"Median Annual Earnings","2012","30 - 39 years","Male","Euro","37460"
"Median Annual Earnings","2012","30 - 39 years","Female","Euro","34265"
"Median Annual Earnings","2012","40 - 49 years","Both sexes","Euro","37635"
"Median Annual Earnings","2012","40 - 49 years","Male","Euro","44392"
"Median Annual Earnings","2012","40 - 49 years","Female","Euro","31526"
"Median Annual Earnings","2012","50 - 59 years","Both sexes","Euro","36331"
"Median Annual Earnings","2012","50 - 59 years","Male","Euro","43680"
"Median Annual Earnings","2012","50 - 59 years","Female","Euro","29688"
"Median Annual Earnings","2012","60 years and over","Both sexes","Euro","25211"
"Median Annual Earnings","2012","60 years and over","Male","Euro","31905"
"Median Annual Earnings","2012","60 years and over","Female","Euro","19350"
"Median Annual Earnings","2013","15 - 24 years","Both sexes","Euro","16024"
"Median Annual Earnings","2013","15 - 24 years","Male","Euro","17239"
"Median Annual Earnings","2013","15 - 24 years","Female","Euro","14842"
"Median Annual Earnings","2013","15 years and over","Both sexes","Euro","33059"
"Median Annual Earnings","2013","15 years and over","Male","Euro","36907"
"Median Annual Earnings","2013","15 years and over","Female","Euro","29526"
"Median Annual Earnings","2013","25 - 29 years","Both sexes","Euro","27055"
"Median Annual Earnings","2013","25 - 29 years","Male","Euro","27771"
"Median Annual Earnings","2013","25 - 29 years","Female","Euro","26337"
"Median Annual Earnings","2013","30 - 39 years","Both sexes","Euro","35625"
"Median Annual Earnings","2013","30 - 39 years","Male","Euro","37101"
"Median Annual Earnings","2013","30 - 39 years","Female","Euro","34154"
"Median Annual Earnings","2013","40 - 49 years","Both sexes","Euro","38000"
"Median Annual Earnings","2013","40 - 49 years","Male","Euro","44517"
"Median Annual Earnings","2013","40 - 49 years","Female","Euro","32163"
"Median Annual Earnings","2013","50 - 59 years","Both sexes","Euro","36502"
"Median Annual Earnings","2013","50 - 59 years","Male","Euro","44121"
"Median Annual Earnings","2013","50 - 59 years","Female","Euro","30021"
"Median Annual Earnings","2013","60 years and over","Both sexes","Euro","25979"
"Median Annual Earnings","2013","60 years and over","Male","Euro","32462"
"Median Annual Earnings","2013","60 years and over","Female","Euro","19959"
"Median Annual Earnings","2014","15 - 24 years","Both sexes","Euro","16376"
"Median Annual Earnings","2014","15 - 24 years","Male","Euro","17649"
"Median Annual Earnings","2014","15 - 24 years","Female","Euro","15128"
"Median Annual Earnings","2014","15 years and over","Both sexes","Euro","33323"
"Median Annual Earnings","2014","15 years and over","Male","Euro","36999"
"Median Annual Earnings","2014","15 years and over","Female","Euro","29857"
"Median Annual Earnings","2014","25 - 29 years","Both sexes","Euro","27338"
"Median Annual Earnings","2014","25 - 29 years","Male","Euro","28137"
"Median Annual Earnings","2014","25 - 29 years","Female","Euro","26414"
"Median Annual Earnings","2014","30 - 39 years","Both sexes","Euro","35575"
"Median Annual Earnings","2014","30 - 39 years","Male","Euro","36977"
"Median Annual Earnings","2014","30 - 39 years","Female","Euro","34031"
"Median Annual Earnings","2014","40 - 49 years","Both sexes","Euro","38380"
"Median Annual Earnings","2014","40 - 49 years","Male","Euro","44601"
"Median Annual Earnings","2014","40 - 49 years","Female","Euro","32838"
"Median Annual Earnings","2014","50 - 59 years","Both sexes","Euro","36554"
"Median Annual Earnings","2014","50 - 59 years","Male","Euro","44131"
"Median Annual Earnings","2014","50 - 59 years","Female","Euro","30577"
"Median Annual Earnings","2014","60 years and over","Both sexes","Euro","26563"
"Median Annual Earnings","2014","60 years and over","Male","Euro","33094"
"Median Annual Earnings","2014","60 years and over","Female","Euro","20700"
"Median Annual Earnings","2015","15 - 24 years","Both sexes","Euro","16940"
"Median Annual Earnings","2015","15 - 24 years","Male","Euro","18178"
"Median Annual Earnings","2015","15 - 24 years","Female","Euro","15666"
"Median Annual Earnings","2015","15 years and over","Both sexes","Euro","33688"
"Median Annual Earnings","2015","15 years and over","Male","Euro","37038"
"Median Annual Earnings","2015","15 years and over","Female","Euro","30272"
"Median Annual Earnings","2015","25 - 29 years","Both sexes","Euro","27818"
"Median Annual Earnings","2015","25 - 29 years","Male","Euro","28632"
"Median Annual Earnings","2015","25 - 29 years","Female","Euro","26850"
"Median Annual Earnings","2015","30 - 39 years","Both sexes","Euro","35666"
"Median Annual Earnings","2015","30 - 39 years","Male","Euro","37010"
"Median Annual Earnings","2015","30 - 39 years","Female","Euro","34170"
"Median Annual Earnings","2015","40 - 49 years","Both sexes","Euro","38691"
"Median Annual Earnings","2015","40 - 49 years","Male","Euro","44436"
"Median Annual Earnings","2015","40 - 49 years","Female","Euro","33591"
"Median Annual Earnings","2015","50 - 59 years","Both sexes","Euro","36953"
"Median Annual Earnings","2015","50 - 59 years","Male","Euro","43977"
"Median Annual Earnings","2015","50 - 59 years","Female","Euro","31149"
"Median Annual Earnings","2015","60 years and over","Both sexes","Euro","27364"
"Median Annual Earnings","2015","60 years and over","Male","Euro","33438"
"Median Annual Earnings","2015","60 years and over","Female","Euro","21632"
"Median Annual Earnings","2016","15 - 24 years","Both sexes","Euro","17622"
"Median Annual Earnings","2016","15 - 24 years","Male","Euro","18916"
"Median Annual Earnings","2016","15 - 24 years","Female","Euro","16345"
"Median Annual Earnings","2016","15 years and over","Both sexes","Euro","33912"
"Median Annual Earnings","2016","15 years and over","Male","Euro","37328"
"Median Annual Earnings","2016","15 years and over","Female","Euro","30507"
"Median Annual Earnings","2016","25 - 29 years","Both sexes","Euro","28730"
"Median Annual Earnings","2016","25 - 29 years","Male","Euro","29640"
"Median Annual Earnings","2016","25 - 29 years","Female","Euro","27687"
"Median Annual Earnings","2016","30 - 39 years","Both sexes","Euro","35849"
"Median Annual Earnings","2016","30 - 39 years","Male","Euro","37456"
"Median Annual Earnings","2016","30 - 39 years","Female","Euro","34028"
"Median Annual Earnings","2016","40 - 49 years","Both sexes","Euro","38961"
"Median Annual Earnings","2016","40 - 49 years","Male","Euro","44394"
"Median Annual Earnings","2016","40 - 49 years","Female","Euro","33961"
"Median Annual Earnings","2016","50 - 59 years","Both sexes","Euro","36888"
"Median Annual Earnings","2016","50 - 59 years","Male","Euro","43825"
"Median Annual Earnings","2016","50 - 59 years","Female","Euro","31270"
"Median Annual Earnings","2016","60 years and over","Both sexes","Euro","28025"
"Median Annual Earnings","2016","60 years and over","Male","Euro","33873"
"Median Annual Earnings","2016","60 years and over","Female","Euro","22359"
"Median Annual Earnings","2017","15 - 24 years","Both sexes","Euro","18000"
"Median Annual Earnings","2017","15 - 24 years","Male","Euro","19354"
"Median Annual Earnings","2017","15 - 24 years","Female","Euro","16575"
"Median Annual Earnings","2017","15 years and over","Both sexes","Euro","34658"
"Median Annual Earnings","2017","15 years and over","Male","Euro","37960"
"Median Annual Earnings","2017","15 years and over","Female","Euro","31153"
"Median Annual Earnings","2017","25 - 29 years","Both sexes","Euro","29871"
"Median Annual Earnings","2017","25 - 29 years","Male","Euro","30699"
"Median Annual Earnings","2017","25 - 29 years","Female","Euro","28777"
"Median Annual Earnings","2017","30 - 39 years","Both sexes","Euro","36583"
"Median Annual Earnings","2017","30 - 39 years","Male","Euro","38319"
"Median Annual Earnings","2017","30 - 39 years","Female","Euro","34595"
"Median Annual Earnings","2017","40 - 49 years","Both sexes","Euro","39517"
"Median Annual Earnings","2017","40 - 49 years","Male","Euro","44731"
"Median Annual Earnings","2017","40 - 49 years","Female","Euro","34750"
"Median Annual Earnings","2017","50 - 59 years","Both sexes","Euro","37399"
"Median Annual Earnings","2017","50 - 59 years","Male","Euro","44078"
