"Statistic Label","Year","Sex","NACE Rev 2 Economic Sector","UNIT","VALUE"
"Mean Weekly Earnings","2016","Male","Information and communication (J)","Euro","1221.37"
"Mean Weekly Earnings","2016","Male","Professional, scientific and technical activities (M)","Euro","1013.52"
"Mean Weekly Earnings","2016","Male","Administrative and support service activities (N)","Euro","608.51"
"Mean Weekly Earnings","2016","Male","Public administration and defence; compulsory social security (O)","Euro","947.58"
"Mean Weekly Earnings","2016","Male","Education (P)","Euro","811.14"
"Mean Weekly Earnings","2016","Male","Human health and social work activities (Q)","Euro","742.64"
"Mean Weekly Earnings","2016","Male","Industry (B to E)","Euro","893.4"
"Mean Weekly Earnings","2016","Male","Financial, insurance and real estate activities (K,L)","Euro","1238.41"
"Mean Weekly Earnings","2016","Male","Arts, entertainment, recreation and other service activities (R,S)","Euro","532.1"
"Mean Weekly Earnings","2016","Female","All NACE economic sectors","Euro","588.97"
"Mean Weekly Earnings","2016","Female","Construction (F)","Euro","466.4"
"Mean Weekly Earnings","2016","Female","Wholesale and retail trade; repair of motor vehicles and motorcycles (G)","Euro","428.62"
"Mean Weekly Earnings","2016","Female","Transportation and storage (H)","Euro","599.58"
"Mean Weekly Earnings","2016","Female","Accommodation and food service activities (I)","Euro","290.6"
"Mean Weekly Earnings","2016","Female","Information and communication (J)","Euro","950.39"
"Mean Weekly Earnings","2016","Female","Professional, scientific and technical activities (M)","Euro","707.13"
"Mean Weekly Earnings","2016","Female","Administrative and support service activities (N)","Euro","469.46"
"Mean Weekly Earnings","2016","Female","Public administration and defence; compulsory social security (O)","Euro","790.3"
"Mean Weekly Earnings","2016","Female","Education (P)","Euro","704.86"
"Mean Weekly Earnings","2016","Female","Human health and social work activities (Q)","Euro","620.78"
"Mean Weekly Earnings","2016","Female","Industry (B to E)","Euro","732.49"
"Mean Weekly Earnings","2016","Female","Financial, insurance and real estate activities (K,L)","Euro","820.62"
"Mean Weekly Earnings","2016","Female","Arts, entertainment, recreation and other service activities (R,S)","Euro","370.07"
"Mean Weekly Earnings","2017","Both sexes","All NACE economic sectors","Euro","699.57"
"Mean Weekly Earnings","2017","Both sexes","Construction (F)","Euro","654.22"
"Mean Weekly Earnings","2017","Both sexes","Wholesale and retail trade; repair of motor vehicles and motorcycles (G)","Euro","541.58"
"Mean Weekly Earnings","2017","Both sexes","Transportation and storage (H)","Euro","702.91"
"Mean Weekly Earnings","2017","Both sexes","Accommodation and food service activities (I)","Euro","337.9"
"Mean Weekly Earnings","2017","Both sexes","Information and communication (J)","Euro","1181.05"
"Mean Weekly Earnings","2017","Both sexes","Professional, scientific and technical activities (M)","Euro","880.25"
"Mean Weekly Earnings","2017","Both sexes","Administrative and support service activities (N)","Euro","567.94"
"Mean Weekly Earnings","2017","Both sexes","Public administration and defence; compulsory social security (O)","Euro","902.62"
"Mean Weekly Earnings","2017","Both sexes","Education (P)","Euro","755.92"
"Mean Weekly Earnings","2017","Both sexes","Human health and social work activities (Q)","Euro","663.73"
"Mean Weekly Earnings","2017","Both sexes","Industry (B to E)","Euro","861.73"
"Mean Weekly Earnings","2017","Both sexes","Financial, insurance and real estate activities (K,L)","Euro","1038.23"
"Mean Weekly Earnings","2017","Both sexes","Arts, entertainment, recreation and other service activities (R,S)","Euro","440.22"
"Mean Weekly Earnings","2017","Male","All NACE economic sectors","Euro","795"
"Mean Weekly Earnings","2017","Male","Construction (F)","Euro","673.33"
"Mean Weekly Earnings","2017","Male","Wholesale and retail trade; repair of motor vehicles and motorcycles (G)","Euro","642.21"
